word,frequency,pos,sentiment,stopword,headword,attribute
당국,1471,Noun,,,,
기회,1471,Noun,,,,
이었다,1466,Verb,,,,
받을,1466,Verb,,,,
작용,1465,Noun,,,,
하반기,1464,Noun,,,,
치를,1460,Verb,,,,
있으며,1455,Adjective,,,,
밸류,1448,Noun,,,,
자본시장,1448,Noun,,,,
하겠다,1448,Verb,,,,
의장,1441,Noun,,,,
선정,1441,Noun,,,,
속,1434,Noun,,,,
한화,1429,Noun,,,,
션,1426,Noun,,,,
하루,1426,Noun,,,,
러시아,1424,Noun,,,,
수출,1423,Noun,,,,
있고,1421,Adjective,,,,
노력,1421,Noun,,,,
되면,1419,Verb,,,,
중인,1417,Noun,,,,
주식시장,1415,Noun,,,,
포트폴리오,1414,Noun,,,,
재개,1412,Noun,,,,
필요,1404,Noun,,,,
뉴욕증시,1401,Noun,,,,
간,1399,Noun,,,,
구성,1397,Noun,,,,
낙폭,1396,Noun,,,,
주의,1395,Noun,,,,
보면,1390,Verb,,,,
국민,1386,Noun,,,,
부진,1382,Noun,,,,
금지,1380,Noun,,,,
조달,1379,Noun,,,,
엔지니어링,1377,Noun,,,,
변경,1374,Noun,,,,
낮은,1369,Adjective,,,,
개미,1369,Noun,,,,
기사,1368,Noun,,,,
일본,1368,Noun,,,,
협력,1365,Noun,,,,
익,1362,Noun,,,,
변,1360,Noun,,,,
정지,1360,Noun,,,,
메,1355,Noun,,,,
딜링룸,1355,Noun,,,,
포스코,1354,Noun,,,,
모바일,1352,Noun,,,,
받은,1351,Verb,,,,
불확실,1349,Noun,,,,
출,1349,Verb,,,,
파월,1348,Noun,,,,
로,1340,Foreign,,,,
사장,1339,Noun,,,,
내다봤다,1336,Verb,,,,
입장,1335,Noun,,,,
가를,1332,Verb,,,,
장주,1331,Noun,,,,
유동성,1331,Noun,,,,
지적,1329,Noun,,,,
인해,1328,Adjective,,,,
했다는,1326,Verb,,,,
키움,1322,Verb,,,,
의무,1321,Noun,,,,
부분,1318,Noun,,,,
방안,1318,Noun,,,,
주로,1318,Noun,,,,
국가,1318,Noun,,,,
별,1308,Noun,,,,
역량,1308,Noun,,,,
법,1301,Noun,,,,
사태,1300,Noun,,,,
조사,1296,Noun,,,,
컨센서스,1296,Noun,,,,
망치,1293,Noun,,,,
국제,1292,Noun,,,,
트,1292,Noun,,,,
있지만,1290,Adjective,,,,
활동,1287,Noun,,,,
홀딩스,1283,Noun,,,,
빠르게,1278,Adjective,,,,
당시,1277,Noun,,,,
IB,1276,Alpha,,,,
위메이드,1275,Noun,,,,
최종,1274,Noun,,,,
감안,1274,Noun,,,,
지금,1263,Noun,,,,
대체,1262,Noun,,,,
소비자,1260,Noun,,,,
의미,1258,Noun,,,,
이틀,1254,Noun,,,,
동시,1253,Noun,,,,
차량,1252,Noun,,,,
가지,1252,Noun,,,,
논란,1246,Noun,,,,
보수,1246,Noun,,,,
둔화,1243,Noun,,,,
에스,1243,Noun,,,,
합니다,1242,Verb,,,,
크래프톤,1238,Noun,,,,
가능한,1233,Adjective,,,,
텍,1231,Noun,,,,
일제,1230,Noun,,,,
연초,1229,Noun,,,,
인한,1229,Adjective,,,,
되지,1228,Verb,,,,
SDI,1227,Alpha,,,,
제출,1224,Noun,,,,
월,1223,Noun,,,,
대규모,1223,Noun,,,,
최소,1221,Noun,,,,
CEO,1218,Alpha,,,,
美,1216,Foreign,,,,
퇴직,1216,Noun,,,,
바탕,1214,Noun,,,,
공매도,1213,Noun,,,,
통신,1211,Noun,,,,
제조,1206,Noun,,,,
하기로,1206,Verb,,,,
자기,1206,Noun,,,,
리,1205,Noun,,,,
해소,1205,Noun,,,,
상환,1204,Noun,,,,
에는,1202,Foreign,,,,
승인,1200,Noun,,,,
여의도,1197,Noun,,,,
로봇,1197,Noun,,,,
직접,1196,Noun,,,,
여전히,1194,Adjective,,,,
없는,1194,Adjective,,,,
프로젝트,1193,Noun,,,,
건강,1191,Noun,,,,
기능,1190,Noun,,,,
희망,1189,Noun,,,,
D,1189,Alpha,,,,
시행,1188,Noun,,,,
의료,1186,Noun,,,,
리서치,1185,Noun,,,,
주택,1183,Noun,,,,
열린,1183,Verb,,,,
급증,1180,Noun,,,,
키트,1180,Noun,,,,
사인,1179,Noun,,,,
물류,1178,Noun,,,,
수수료,1169,Noun,,,,
나,1166,Noun,,,,
책임,1164,Noun,,,,
우선,1157,Noun,,,,
지주,1154,Noun,,,,
붕괴,1153,Noun,,,,
단기,1152,Noun,,,,
않은,1146,Verb,,,,
사건,1145,Noun,,,,
전반,1144,Noun,,,,
세대,1144,Noun,,,,
처,1144,Noun,,,,
©,1141,Foreign,,,,
채,1140,Noun,,,,
국내외,1139,Noun,,,,
적자,1138,Noun,,,,
백신,1138,Noun,,,,
국,1136,Noun,,,,
금은,1136,Noun,,,,
동반,1135,Noun,,,,
중공업,1135,Noun,,,,
자율,1135,Noun,,,,
교육,1134,Noun,,,,
떨어진,1133,Verb,,,,
종,1132,Noun,,,,
롯데,1132,Noun,,,,
시기,1130,Noun,,,,
형성,1128,Noun,,,,
했습니다,1126,Verb,,,,
여러분,1126,Noun,,,,
최저,1125,Noun,,,,
생각,1123,Noun,,,,
베트남,1123,Noun,,,,
비해,1122,Verb,,,,
수도,1120,Noun,,,,
진입,1120,Noun,,,,
경,1119,Noun,,,,
장사,1118,Noun,,,,
계,1116,Noun,,,,
등록,1115,Noun,,,,
전기,1113,Noun,,,,
중단,1111,Noun,,,,
흥행,1111,Noun,,,,
실시,1111,Noun,,,,
아시아,1110,Noun,,,,
첫날,1108,Noun,,,,
번,1106,Noun,,,,
▶,1105,Foreign,,,,
과,1105,Foreign,,,,
생활,1102,Noun,,,,
차례,1101,Noun,,,,
씨,1101,Noun,,,,
↓,1098,Foreign,,,,
했으며,1095,Verb,,,,
→,1093,Foreign,,,,
옥션,1093,Noun,,,,
공사,1091,Noun,,,,
시각,1090,Noun,,,,
합병,1090,Noun,,,,
양적,1089,Noun,,,,
발전,1089,Noun,,,,
발,1088,Noun,,,,
환자,1088,Noun,,,,
방침,1087,Noun,,,,
줄,1087,Noun,,,,
더불어,1086,Verb,,,,
볼,1085,Noun,,,,
대금,1085,Noun,,,,
이런,1084,Adjective,,,,
역할,1083,Noun,,,,
흑자,1082,Noun,,,,
우크라이나,1082,Noun,,,,
본사,1080,Noun,,,,
모델,1079,Noun,,,,
TV,1076,Alpha,,,,
자리,1075,Noun,,,,
가입,1074,Noun,,,,
가는,1073,Verb,,,,
대,1070,Foreign,,,,
상대,1070,Noun,,,,
통화정책,1069,Noun,,,,
가까이,1067,Noun,,,,
제기,1067,Noun,,,,
피,1067,Noun,,,,
친환경,1066,Noun,,,,
요구,1066,Noun,,,,
국민연금,1063,Noun,,,,
디,1062,Noun,,,,
테마,1061,Noun,,,,
부여,1058,Noun,,,,
않을,1054,Verb,,,,
일정,1053,Noun,,,,
지정,1053,Noun,,,,
재무,1051,Noun,,,,
성공,1050,Noun,,,,
본부장,1050,Noun,,,,
조치,1049,Noun,,,,
공개시장,1046,Noun,,,,
자료,1045,Noun,,,,
만기,1045,Noun,,,,
bp,1045,Alpha,,,,
도세,1040,Noun,,,,
층,1039,Noun,,,,
호,1037,Noun,,,,
디스플레이,1036,Noun,,,,
지표,1034,Noun,,,,
상한,1034,Noun,,,,
헤럴드경제,1034,Noun,,,,
따,1034,Verb,,,,
손,1033,Noun,,,,
가능하다,1032,Adjective,,,,
이어질,1032,Verb,,,,
논의,1032,Noun,,,,
각,1031,Noun,,,,
이자,1031,Noun,,,,
뿐,1031,Noun,,,,
늘었다,1030,Verb,,,,
주,1030,Foreign,,,,
로부터,1027,Noun,,,,
티,1025,Noun,,,,
완료,1023,Noun,,,,
협회,1021,Noun,,,,
마케팅,1019,Noun,,,,
받는,1017,Verb,,,,
주문,1016,Noun,,,,
부회장,1015,Noun,,,,
직스,1014,Noun,,,,
경험,1011,Noun,,,,
처분,1007,Noun,,,,
사이,1003,Noun,,,,
모집,1003,Noun,,,,
앱,1003,Noun,,,,
수혜,1000,Noun,,,,
안전,999,Noun,,,,
박,996,Noun,,,,
파이낸셜뉴스,995,Noun,,,,
스톡옵션,990,Noun,,,,
폭락,985,Noun,,,,
E,985,Alpha,,,,
점유,985,Noun,,,,
목적,985,Noun,,,,
회수,985,Noun,,,,
필요한,984,Adjective,,,,
했으나,981,Verb,,,,
관측,980,Noun,,,,
상치,979,Noun,,,,
기적,978,Noun,,,,
지배구조,978,Noun,,,,
스마트,976,Noun,,,,
상회,974,Noun,,,,
개최,974,Noun,,,,
선임,973,Noun,,,,
돈,972,Noun,,,,
판,972,Noun,,,,
